id,代码,名称
0,833284,N灵鸽
1,836247,华密新材
2,833580,科创新材
3,300949,奥雅股份
4,688716,中研股份
5,300805,电声股份
6,301076,新瀚新材
7,832469,富恒新材
8,300093,金刚光伏
9,301069,凯盛新材
10,301280,珠城科技
11,300812,易天股份
12,837821,则成电子
13,836149,旭杰科技
14,870204,沪江材料
15,301025,读客文化
16,603231,C索宝
17,301000,肇民科技
18,301131,聚赛龙
19,2347,泰尔股份
20,600692,亚通股份
21,2306,中科云网
22,603967,中创物流
23,2915,中欣氟材
24,610,西安旅游
25,890,法尔胜
26,600610,中毅达
27,2660,茂硕电源
28,603789,星光农机
29,603721,中广天择
30,603392,万泰生物
31,603106,恒银科技
32,2888,惠威科技
33,2878,元隆雅图
34,1314,亿道信息
35,2862,实丰文化
36,1239,永达股份
37,603656,泰禾智能
38,430300,辰光医疗
39,600706,曲江文旅
40,603779,威龙股份
41,2354,天娱数科
42,836826,盖世食品
43,833171,国航远洋
44,832171,志晟信息
45,300445,康斯特
46,300081,恒信东方
47,430564,天润科技
48,301368,丰立智能
49,688328,深科达
50,832225,利通科技
51,300779,惠城环保
52,301100,风光股份
53,430198,微创光电
54,603081,大丰实业
55,2512,达华智能
56,300608,思特奇
57,688658,悦康药业
58,300756,金马游乐
59,831526,凯华材料
60,300556,丝路视觉
61,603037,凯众股份
62,301236,软通动力
63,978,桂林旅游
64,301312,智立方
65,603808,歌力思
66,688323,瑞华泰
67,300793,佳禾智能
68,603729,龙韵股份
69,300115,长盈精密
70,839790,联迪信息
71,2933,新兴装备
72,300421,力星股份
73,603121,华培动力
74,300538,同益股份
75,688383,新益昌
76,600571,信雅达
77,300785,值得买
78,300264,佳创视讯
79,3017,大洋生物
80,300853,申昊科技
81,300792,壹网壹创
82,301011,华立科技
83,688290,景业智能
84,603025,大豪科技
85,603661,恒林股份
86,688320,禾川科技
87,300809,华辰装备
88,603489,八方股份
89,600072,中船科技
90,810,创维数字
91,721,西安饮食
92,300889,爱克股份
93,2571,德力股份
94,301555,惠柏新材
95,2858,力盛体育
96,300742,*ST越博
97,300699,光威复材
98,301360,荣旗科技
99,835207,众诚科技
